logFC	adj.P.Val	Gene names	Protein IDs	SARS_CoV_2
-1.9833153203565297	8.025530694037111e-6	DDX60	Q8IY21	FALSE
-2.0506218876508986	8.025530694037111e-6	PARP9	Q8IXQ6-2;Q8IXQ6;Q8IXQ6-3	FALSE
-4.163657589592219	8.025530694037111e-6	Orf7a	SARS_CoV_2_Orf7a	TRUE
-2.4153221278288086	9.785541824065539e-6	PLSCR1	O15162;O15162-2	FALSE
-1.5543316342449274	9.785541824065539e-6	HELZ2	Q9BYK8;Q9BYK8-2;Q9BYK8-4	FALSE
-1.9798169710945939	9.785541824065539e-6	OAS3	Q9Y6K5	FALSE
-2.1798771889155533	9.785541824065539e-6	DDX58	O95786;O95786-2	FALSE
-1.8981226212982791	1.2963233104454526e-5	STAT1	P42224;Q14765	FALSE
-1.901504091185746	1.2963233104454526e-5	OASL	Q15646;Q15646-3;Q15646-2	FALSE
-3.631119004590862	1.3072338136870022e-5	OAS1	P00973;P00973-2;P00973-4;P00973-3	FALSE
-1.5986994608534766	1.5664720138903528e-5	NMI	Q13287	FALSE
-2.10455879595255	1.5664720138903528e-5	ISG15	P05161	FALSE
-1.4467580908423414	2.9102652310223395e-5	HERC5	Q9UII4	FALSE
-1.2327419633612524	2.9102652310223395e-5	EIF2AK2	P19525;P19525-2	FALSE
-1.334889350675247	2.9982325190226067e-5	PARP14	Q460N5;Q460N5-4;Q460N5-1;Q460N5-3;Q460N5-5	FALSE
-2.0692492222204124	5.421204767424362e-5	DTX3L	Q8TDB6;Q8TDB6-2	FALSE
-1.9604527676296037	7.752738849364022e-5	DHFR	P00374;P00374-2;Q86XF0	FALSE
-2.2427708589659443	8.756581367453264e-5	IFIT3	O14879	FALSE
-1.1151045736375038	8.756581367453264e-5	PLIN2	Q99541	FALSE
-1.2826695518088593	8.756581367453264e-5	IFIT5	Q13325;Q13325-2	FALSE
-1.173034402019169	8.927735069866144e-5	TRIM21	P19474;P19474-2	FALSE
-1.5990818519355712	8.927735069866144e-5	SP110	Q9HB58;Q9HB58-6;Q9HB58-5;Q9HB58-3;Q9HB58-7;Q9HB58-2;Q9HB58-4	FALSE
-1.491490831309628	1.1005928945247403e-4	IFI35	P80217;P80217-2	FALSE
-1.001946091241929	1.1574643858625787e-4	TAP1	Q03518	FALSE
-1.2785194852210828	1.5211379791775208e-4	PSMB8	P28062;P28062-2	FALSE
-2.0209332843336947	1.9262685734931402e-4	IFIT1	P09914-2;P09914;Q5T764	FALSE
0.9347598856356052	1.9309087121440803e-4	SEMA3A	Q14563	FALSE
-1.3938245410481915	2.2833143415772487e-4	B2M	P61769	FALSE
